"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_name"
"1",0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,"audio_features","4FyesJzVpA39hbYvcseO2d","spotify:track:4FyesJzVpA39hbYvcseO2d","https://api.spotify.com/v1/tracks/4FyesJzVpA39hbYvcseO2d","https://api.spotify.com/v1/audio-analysis/4FyesJzVpA39hbYvcseO2d",123891,4,"Just Wanna Rock"
"2",0.653,0.474,5,-10.899,0,0.103,0.312,6.65e-06,0.119,0.361,85.024,"audio_features","31mzt4ZV8C0f52pIz1NSwd","spotify:track:31mzt4ZV8C0f52pIz1NSwd","https://api.spotify.com/v1/tracks/31mzt4ZV8C0f52pIz1NSwd","https://api.spotify.com/v1/audio-analysis/31mzt4ZV8C0f52pIz1NSwd",135529,4,"Shut up My Moms Calling - (Sped Up)"
"3",0.392,0.629,5,-7.056,1,0.0335,0.718,3.76e-06,0.129,0.72,124.511,"audio_features","2Gy7qnDwt8Z3MNxqat4CsK","spotify:track:2Gy7qnDwt8Z3MNxqat4CsK","https://api.spotify.com/v1/tracks/2Gy7qnDwt8Z3MNxqat4CsK","https://api.spotify.com/v1/audio-analysis/2Gy7qnDwt8Z3MNxqat4CsK",153205,4,"Wouldn't It Be Nice - Remastered 2000 / Stereo Mix"
"4",0.704,0.87,8,0.844,1,0.218,0.795,2.45e-06,0.0558,0.932,88.019,"audio_features","1ye9IP87nKYZ5YAGaEv9A1","spotify:track:1ye9IP87nKYZ5YAGaEv9A1","https://api.spotify.com/v1/tracks/1ye9IP87nKYZ5YAGaEv9A1","https://api.spotify.com/v1/audio-analysis/1ye9IP87nKYZ5YAGaEv9A1",143053,4,"Little Bitty Pretty One"
"5",0.515,0.408,8,-11.96,1,0.194,0.452,0,0.0682,0.915,185.767,"audio_features","4tmy6FB76bR5eLmx0zO1mn","spotify:track:4tmy6FB76bR5eLmx0zO1mn","https://api.spotify.com/v1/tracks/4tmy6FB76bR5eLmx0zO1mn","https://api.spotify.com/v1/audio-analysis/4tmy6FB76bR5eLmx0zO1mn",141667,4,"Pennies From Heaven"
"6",0.55,0.854,3,-5.968,1,0.036,0.661,0,0.112,0.965,159.231,"audio_features","0wz1LjDb9ZNEYwOmDJ3Q4b","spotify:track:0wz1LjDb9ZNEYwOmDJ3Q4b","https://api.spotify.com/v1/tracks/0wz1LjDb9ZNEYwOmDJ3Q4b","https://api.spotify.com/v1/audio-analysis/0wz1LjDb9ZNEYwOmDJ3Q4b",149373,4,"Surfin' U.S.A. - Remastered 2001"
"7",0.609,0.573,9,-8.514,1,0.0955,0.21,0,0.218,0.483,153.995,"audio_features","4FjYDIaDlu3xf8JQrfgTBW","spotify:track:4FjYDIaDlu3xf8JQrfgTBW","https://api.spotify.com/v1/tracks/4FjYDIaDlu3xf8JQrfgTBW","https://api.spotify.com/v1/audio-analysis/4FjYDIaDlu3xf8JQrfgTBW",222681,4,"Ya Me Entere - En Vivo"
"8",0.571,0.567,8,-6.873,1,0.0994,0.431,0,0.129,0.967,165.332,"audio_features","1RGlfmdvcfatN0ZLOmzanS","spotify:track:1RGlfmdvcfatN0ZLOmzanS","https://api.spotify.com/v1/tracks/1RGlfmdvcfatN0ZLOmzanS","https://api.spotify.com/v1/audio-analysis/1RGlfmdvcfatN0ZLOmzanS",196500,3,"El Hijo Mayor"
"9",0.646,0.571,6,-3.956,1,0.0277,0.78,0,0.0666,0.829,102.232,"audio_features","467uh81a8AkjzFd77ly5M0","spotify:track:467uh81a8AkjzFd77ly5M0","https://api.spotify.com/v1/tracks/467uh81a8AkjzFd77ly5M0","https://api.spotify.com/v1/audio-analysis/467uh81a8AkjzFd77ly5M0",158000,1,"Efecto Al Corazon"
"10",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,"audio_features","07MDkzWARZaLEdKxo6yArG","spotify:track:07MDkzWARZaLEdKxo6yArG","https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG","https://api.spotify.com/v1/audio-analysis/07MDkzWARZaLEdKxo6yArG",162680,4,"Meet Me At Our Spot"
