danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name
0.385,0.454,3,-7.863,1,0.238,0.236,0.0852,0.483,0.397,102.309,audio_features,6hd1EIB3Cmh4QKQFXfOc7R,spotify:track:6hd1EIB3Cmh4QKQFXfOc7R,https://api.spotify.com/v1/tracks/6hd1EIB3Cmh4QKQFXfOc7R,https://api.spotify.com/v1/audio-analysis/6hd1EIB3Cmh4QKQFXfOc7R,93659,4,Imperial
0.36,0.981,9,-4.14,0,0.0535,6.05e-4,1.25e-4,0.333,0.594,96.616,audio_features,5lWY48F4yYOxKUBN2NXbXL,spotify:track:5lWY48F4yYOxKUBN2NXbXL,https://api.spotify.com/v1/tracks/5lWY48F4yYOxKUBN2NXbXL,https://api.spotify.com/v1/audio-analysis/5lWY48F4yYOxKUBN2NXbXL,175560,4,What If I - 2005 Remaster
0.582,0.945,11,-5.95,0,0.089,1.6e-4,0,0.668,0.389,123.041,audio_features,6LnIBfJxftCiHM2mJ1iUfH,spotify:track:6LnIBfJxftCiHM2mJ1iUfH,https://api.spotify.com/v1/tracks/6LnIBfJxftCiHM2mJ1iUfH,https://api.spotify.com/v1/audio-analysis/6LnIBfJxftCiHM2mJ1iUfH,166893,4,Hate Conquers All
0.654,0.647,9,-5.303,1,0.0273,0.00884,0,0.0256,0.592,142.562,audio_features,0ueJcurwHDlfvV6mqA2xyK,spotify:track:0ueJcurwHDlfvV6mqA2xyK,https://api.spotify.com/v1/tracks/0ueJcurwHDlfvV6mqA2xyK,https://api.spotify.com/v1/audio-analysis/0ueJcurwHDlfvV6mqA2xyK,172211,4,Bad Catholics
0.816,0.31,1,-13.765,1,0.0478,0.494,4.4e-4,0.23,0.638,120.044,audio_features,61o1CPyNnB88nQLfO0qonb,spotify:track:61o1CPyNnB88nQLfO0qonb,https://api.spotify.com/v1/tracks/61o1CPyNnB88nQLfO0qonb,https://api.spotify.com/v1/audio-analysis/61o1CPyNnB88nQLfO0qonb,233325,4,Love & Positivity
0.361,0.923,9,-3.882,0,0.059,6.03e-6,0.106,0.133,0.213,164.112,audio_features,507K48TSBXrFy5NbMJSr5z,spotify:track:507K48TSBXrFy5NbMJSr5z,https://api.spotify.com/v1/tracks/507K48TSBXrFy5NbMJSr5z,https://api.spotify.com/v1/audio-analysis/507K48TSBXrFy5NbMJSr5z,113777,4,The Worst Of Fates
0.409,0.987,9,-2.655,0,0.0677,9.66e-6,0.69,0.296,0.15,75.983,audio_features,0hwlv06sGbJ9CQWIFm4m6j,spotify:track:0hwlv06sGbJ9CQWIFm4m6j,https://api.spotify.com/v1/tracks/0hwlv06sGbJ9CQWIFm4m6j,https://api.spotify.com/v1/audio-analysis/0hwlv06sGbJ9CQWIFm4m6j,167006,4,List & Heel
0.433,0.97,7,-4.306,0,0.13,2.47e-5,0.49,0.265,0.058,103.893,audio_features,19OMArYALUi4NuWDzjSkeb,spotify:track:19OMArYALUi4NuWDzjSkeb,https://api.spotify.com/v1/tracks/19OMArYALUi4NuWDzjSkeb,https://api.spotify.com/v1/audio-analysis/19OMArYALUi4NuWDzjSkeb,241936,4,Atheists In Foxholes
0.378,0.99,3,-3.631,1,0.156,2.1e-5,0.0275,0.334,0.07,166.747,audio_features,7f418y10XGhoX7ViQPe6Pc,spotify:track:7f418y10XGhoX7ViQPe6Pc,https://api.spotify.com/v1/tracks/7f418y10XGhoX7ViQPe6Pc,https://api.spotify.com/v1/audio-analysis/7f418y10XGhoX7ViQPe6Pc,173924,4,Mothers' Sons
0.529,0.908,5,-4.791,1,0.0371,3.95e-5,0.758,0.121,0.0614,128.029,audio_features,78EOO4leRacmkHCSocFSyC,spotify:track:78EOO4leRacmkHCSocFSyC,https://api.spotify.com/v1/tracks/78EOO4leRacmkHCSocFSyC,https://api.spotify.com/v1/audio-analysis/78EOO4leRacmkHCSocFSyC,276932,4,Desperate
